User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
CP24,@CP24,2020-02-01T18:18:35.000Z,"Prime Minister Justin Trudeau to visit Ethiopia, Senegal and Germany
https://cp24.com/news/prime-minister-justin-trudeau-to-visit-ethiopia-senegal-and-germany-1.4793455¶",138,34,85
Carmen K,@kristyC00,2020-02-01T20:23:17.000Z,"Why? Just another one of his many useless trips with no benefit to Canada. PS 
@JustinTrudeau
 leave the cheque book home.",1,3,29
Cyara Bird,@CyaraBird,2020-02-01T19:50:47.000Z,"Take note .
@JustinTrudeau
. There is nothing honourable about a Prime Minister who allows Canadians to go without running or clean water. There is also nothing honourable about an MP who stands silently and watches it happen. Mark my words, change is coming. And it's fierce.",67,372,1.1K
gsteroni__,@gsteroni,2020-02-01T20:35:52.000Z,Absolutely 50 million could have a long way to bring clean water to Indigenous peoples rather then to line the already full pockets of a credit card company,,6,31
Justin Trudeau,@JustinTrudeau,2020-02-01T16:01:47.000Z,"Today, we celebrate the start of #BlackHistoryMonth
 and honour the legacy of Black Canadians. This month, let's celebrate the contributions they have made and continue to make to our country.Statement by the Prime Minister on Black History Month
úToday, we celebrate the start of Black History Month and honour the legacy of Black Canadians. This year's theme ì Canadians of African descent: Going forward, guided by the past ì reminds us of the...
pm.gc.ca",442,557,1.8K
Saler Saham,@SahamSaler,2020-02-01T17:59:30.000Z,"Senegal Lives on International handouts
Ethiopia al-Shabaab's hometown
Germany being overrun by middle eastern refugees
great itinerarySenegal Lives on International handouts
Ethiopia al-Shabaab's hometown
Germany being overrun by middle eastern refugees
great itinerary",3,8,19
Moistly Speaking Personkind,@mow_ri,2020-02-01T18:03:25.000Z,Global security?  How about we worry about our own first and close the damn borders and ship the illegals back?,,3,15
Brian Lilley,@brianlilley,2020-02-01T21:13:29.000Z,"The CEO of MasterCard earns $20 million a year. Is that the middle class 
@JustinTrudeau
 is trying to help when he gives MasterCard $50 million of your tax dollars? Trudeau says it's for the middle class after all. Read & RT #cdnpoliLILLEY: To Trudeau, MasterCard's CEO is the middle class
torontosun.com",125,569,896
"ray matthews ""ONE DAY AT A TIME""",@raymatt53916310,2020-02-01T22:47:13.000Z,...Brian Lilley should do like Scheer no Master Card...use the conservative party slush fund...no interest...members pay...,1,2,9
Fay,@FayMary3,2020-02-01T20:48:23.000Z,Too easy. So sad that Canada has been put into this embarrassing situation completely caused by you. The whole world knows you are a clown. We used to be a proud and respected nation.Too easy. So sad that Canada has been put into this embarrassing situation completely caused by you. The whole world knows you are a clown. We used to be a proud and respected nation.,1,3,11
Iain G. Foulds,@FouldsIain,2020-02-01T21:24:22.000Z,"... Almost certainly this is the Liberals buying access to the financial records and credit rating of any opponents.
... There is no other reason for it.... Almost certainly this is the Liberals buying access to the financial records and credit rating of any opponents.
... There is no other reason for it.",1,2,10
We The People,@ThomasYRiley,2020-02-01T21:28:00.000Z,You affiliated with a rat is so damned appropriateYou affiliated with a rat is so damned appropriate,,1,8
Tyler Watt,@tylerwatt90,2020-02-01T21:01:27.000Z,"Premier 
@fordnation
 I thought you said the újob-killingù carbon tax was going to plummet Ontario into a recession and bring gas prices to new record highs. Can you explain this? 
#onpoli",108,548,1.8K
Rob Baccala,@UsualSuspect4u,2020-02-01T21:39:24.000Z,"Don't worry, 
@fordnation
 will be back blaming 
@JustinTrudeau
 when the gas prices go back up ",1,1,19
Elvis Lankin,@Rumblebun,2020-02-01T20:24:30.000Z,"You, Mmmackay, cost us $16,000 for the search & rescue helicopter you used as a taxi. I'm glad our PM 
@JustinTrudeau
 keeps fit for a (very) few dollars. What's your excuse for everything drooping from your hairline down? Go take Pilates!You, Mmmackay, cost us $16,000 for the search & rescue helicopter you used as a taxi. I'm glad our PM 
@JustinTrudeau
 keeps fit for a (very) few dollars. What's your excuse for everything drooping from your hairline down? Go take Pilates!",1,8,16
Extinction Rebellion Ottawa,@XROttawa,2020-02-01T18:22:15.000Z,"It's day 59 at the #ClimateEmergencyCamp outside 
@JustinTrudeau
's office. Yesterday we were joined by our friends at @XRQUEBEC & together we marched to federal minister's offices to denounce the criminal negligence of the Liberal government.",,6,24
"Valerie ArmstrongÅ¶
Å©",@Spitfire_1956,2020-02-01T20:44:16.000Z,"That is sad.  We are not like that.  Where do you live? I grew up in North York, ON. I live in the Atlantic provinces.  No crazy things like that here.That is sad.  We are not like that.  Where do you live? I grew up in North York, ON. I live in the Atlantic provinces.  No crazy things like that here.",2,,1
Betty Matt,@BettyMatt1,2020-02-01T20:52:03.000Z,"Alberta University has fired an academic for conducting a study about climate change proving that it will be beneficial. Warmer means greener. She was fired. If scientists are getting fired because of their research then ""democracy"" is only a fictional word with no real meaning.",2,,2
Sam,@Sam12511077,2020-02-01T18:58:58.000Z,"My guess: Ahmed Hussen has some contacts in Ethiopia (next to his native Somalia) and they will set up some fake NGO. Thereafter in a few months Trudeau, will make a financial contribution in the name of social issues when infact the money will be laundered back to the liberalsMy guess: Ahmed Hussen has some contacts in Ethiopia (next to his native Somalia) and they will set up some fake NGO. Thereafter in a few months Trudeau, will make a financial contribution in the name of social issues when infact the money will be laundered back to the liberals",2,13,17
CBC Toronto,@CBCToronto,2020-02-01T10:21:15.000Z,"With plastic bags on their way out, what else should we consider ditching?  https://ift.tt/36PgRfc",404,106,133
Brad Freadrich,@Cobra1997,2020-02-01T20:48:22.000Z,"The answer is:   
@JustinTrudeau
 & 
@CBC",,3,10
Robert Anderson,@Tightlines38,2020-02-01T19:43:06.000Z,"I hope he is looking for a new home, if not, he should be  Canada wants Trudeau & Company gone before Canada Day 2020, speaking on behalf of a broken country. 
@JustinTrudeauI hope he is looking for a new home, if not, he should be  Canada wants Trudeau & Company gone before Canada Day 2020, speaking on behalf of a broken country. 
@JustinTrudeau",,,25
The West Block,@TheWestBlock,2020-02-01T18:29:26.000Z,"The Prime Minister's Office said the trip will focus on economic opportunity, climate change, democracy and gender equality.Trudeau to visit Ethiopia, Senegal and Germany: PMO
The PMO says the trip will begin on Feb. 6 and will focus on economic opportunity, climate change, democracy and gender equality.
globalnews.ca",175,95,36
JHP,@jhp_jana,2020-02-01T18:55:10.000Z,"@JustinTrudeau
 fix Canada first than go preach elsewhere",,,14
·äê·â•·ã© ·â∞·ãµ·àã NEBIYU TEDLA,@NebiyuTedla,2020-02-01T21:26:27.000Z,"Prime Minister 
@JustinTrudeau
 to make an offcial visit to #Ethiopia 
@mfaethiopia
 in FebruaryQuote Tweet
CanadianPM
@CanadianPM
Canada government organization
 ∑ Feb 1, 2020
Prime Minister Justin Trudeau will travel to Ethiopia, Senegal, and Germany from February 6 to 14. These visits will focus on economic opportunity and prosperity, climate change, democracy, and gender equality. http://ow.ly/2WDb50yaW4U",,2,5
Elections Canada,@ElectionsCan_E,2020-01-31T14:18:45.000Z,"Elections Canada operates independently of the Commissioner of Canada Elections. It is the Commissioner's responsibility to ensure that election laws are complied with and enforced. To find out more about the CCE, you can visit their website at: https://cef-cce.ca",97,33,19
"Eltie
SinghtheSellout",@eltie196_,2020-02-01T23:13:39.000Z,"@ElectionsCan_E
  I hear that about 1000 more authors will be writing a new novel on 
@JustinTrudeau
  will they all be interrogated by former RCMP police?
Or was only 1 targeted 
@ezralevant
 for his honesty. Please stick to paperwork & leave the detective work to professionals!",,3,4
Sir/Dad/Major Steve,@myopinion58,2020-02-01T19:49:35.000Z,"Sounds like a refugee hunting expedition. Looking for ""volunteers"" for your mass migration promise.Sounds like a refugee hunting expedition. Looking for ""volunteers"" for your mass migration promise.",1,3,9
