User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
WatchDog for America,@tightline88,2019-04-01T23:46:59.000Z,"Barack Obama most admired man for 11th straight year: Gallup.
@POTUS44
@BarackObama
@realDonaldTrump
@VP
  @senatemajldr
@GOP
 @LindseyGrahamSC
@RNC
 @FoxNews
@seanhannity
 @TuckerCarlson
@KellyannePolls
http://msnbc.com/rachel-maddow/watch/barack-obama-most-admired-man-for-11th-straight-year-gallup-1411366467585¶ via 
@msnbcBarack Obama most admired man for 11th straight year: Gallup
Joy Reid reports on the latest results in a long-running Gallup poll to ascertain who Americans admire most, with Barack and Michelle Obama taking the top spots in their respective categories.
msnbc.com",,2,2
Omar Navarro,@RealOmarNavarro,2019-04-01T20:11:24.000Z,"When elected to Congress I will work with you to make America great. Please follow me at 
@RealOmarNavarro
 to help me defeat Maxine Waters in 2020.When elected to Congress I will work with you to make America great. Please follow me at 
@RealOmarNavarro
 to help me defeat Maxine Waters in 2020.",271,637,1.9K
Doris,@doris23x,2019-04-01T23:55:59.000Z,"Best of luck to Maxine Waters.
VOTE BLUE 2020.",,,7
Jon Hiseley,@muskogeeit,2019-04-01T23:56:56.000Z,"Ole Beavis and Butthead Krassenstein are so far out in left field
 they just need to be grounded from their phones for awhile.",1,,7
KerrieÛæì¶,@Kerrie89297309,2019-04-01T23:46:12.000Z,"My point is that we need less government running our lives, not more. I'd rather keep more of MY money, instead of trying to take it away from others. But if we're going there, George Soros funds an incredible amount of shady socialist policies around the world.My point is that we need less government running our lives, not more. I'd rather keep more of MY money, instead of trying to take it away from others. But if we're going there, George Soros funds an incredible amount of shady socialist policies around the world.",2,,
jane velasco,@gladysclyde,2019-04-01T23:56:26.000Z,"Buzz words: socialist, George Soros, Error: unless you are very rich, you won't get much $$, but the 1% will, and you, #MAGAs and 
@GOPers
 made it happen.",2,1,2
Harvey J Kaye,@harveyjkaye,2019-04-01T22:28:41.000Z,"Trump Very Bitter and Sensitive' About Puerto Rico, and Dems Say His Team Is Stonewalling Their Hurricane Relief Investigation https://thedailybeast.com/trump-very-bitter-and-sensitive-about-puerto-rico-and-dems-say-his-team-is-stonewalling-their-investigation¶",1,8,2
Jan WEAR MASKS SAVE LIVES,@SwanWhisperr,2019-04-01T23:53:50.000Z,"It's really something how 
@realDonaldTrump
 self identifies as the victim, when he's actually the bad guy. While most think it's mental illness, I think he's just a mobster, who sees things in terms of money, that Puerto Rico funding cuts into his profits. Greed & racism is toxic.",,5,9
GoBigOrGoHome,@killfacism,2019-04-01T23:54:23.000Z,We love Obamacare!!!We love Obamacare!!!,1,1,17
Appalachian Vulcan,@Lunetree,2019-03-31T21:38:32.000Z,"Trump's ""failure"" is really you're disinformed perception from the media being a success. The zombie making machine has won your trust and got you eating live brains because you're trained to hate free thought. Good on you. Now go carry water for some rich dude who runs your TVTrump's ""failure"" is really you're disinformed perception from the media being a success. The zombie making machine has won your trust and got you eating live brains because you're trained to hate free thought. Good on you. Now go carry water for some rich dude who runs your TV",69,16,133
Why are we in upside down world?!,@roizlcl29,2019-04-01T23:55:15.000Z,Says the person repeating what they've been told ,2,1,2
PARIS,@PARISDENNARD,2019-04-01T22:24:11.000Z,"From Prison to the White House let's continue to Make America Great Again #MAGA 

When you talk about the impact of the 
@realDonaldTrump
 Administration and the President's commitment to forgotten people. Watch this video: 
#FirstStepAct #SecondChances #CriminialJusticeReform0:34
234.7K views",412,2.6K,9.7K
Christa Cooper,@MissMarple2,2019-04-01T23:58:10.000Z,"I went over and watched this on the White House network on youtube:  https://youtube.com/watch?v=oTW5NqQp5ug¶  The whole thing is about 1/2 an hour,  and the President looks positively joyful!  All the former prisoners speaking are really good!President Trump Participates in the 2019 Prison Reform Summit and...
 Subscribe to RSBN for more LIVE streams and Breaking NEWS: http://bit.ly/2gDGbkh
 Donate to RSBN and help keep us on the air: http://rsbn.tv/donate
youtube.com",2,4,29
ANNE ARTO,@HeARTofGod99,2019-04-01T23:57:29.000Z,How about a profile pic of you?How about a profile pic of you?,1,,1
Orlando C.,@O_NJ088,2019-04-01T23:59:46.000Z,They're delivering avocados...They're delivering avocados...,2,3,8
Scott,@scooterbdoodle,2019-04-01T23:51:28.000Z,"I'm American, and I demand it NOT be asked on the Census.

and also, I demand less eyelinerI'm American, and I demand it NOT be asked on the Census.

and also, I demand less eyeliner",1,,13
Eightnumbrs90210420,@JackRyan8digits,2019-04-01T21:32:22.000Z,It really really does not have any meaning whatsoeverIt really really does not have any meaning whatsoever,2,,
Mack,@muchfish2,2019-04-01T23:55:33.000Z,Some are still asleep and may never wake up...,,,1
Ryan Knight ò≠,@ProudSocialist,2019-04-01T23:41:56.000Z,"I remember when the úWalking Deadù used to be a show on TV and not a cult of zombies who don't believe in truth, facts, or science and worship 
@realDonaldTrump
.",87,532,2.4K
The Overnight Activist,@Spiceygirl512,2019-04-01T23:51:31.000Z,This isn't the America that our forefathers envisioned. That's what happens when people elect quacks,,2,8
Michigan GOP,@MIGOP,2019-04-01T23:52:35.000Z,"Thank you, 
@realDonaldTrump
!Quote Tweet
The White House 45 Archived
@WhiteHouse45
 ∑ Apr 1, 2019
Tonight at the White House, President Trump celebrated the passage of the First Step Act: úIt was time to fix this broken system . . . and to improve the lives of so many people.ù",,3,18
RealRositaFonseca,@CalifQuail1969,2019-04-01T23:52:26.000Z,"With Who's Money? That of the Homeless camping in tents along the freeways or The unadopted Illegals flooding the juvenile detention centers, Homeless Shelters, Public Schools & foster family System who then RipOff American Family Identities?With Who's Money? That of the Homeless camping in tents along the freeways or The unadopted Illegals flooding the juvenile detention centers, Homeless Shelters, Public Schools & foster family System who then RipOff American Family Identities?",,3,5
Eric Holder,@EricHolder,2019-04-01T16:23:32.000Z,"For those Republicans who don't want to do away with the Electoral College remember 2004: if Kerry had won about 110,000 more votes in Ohio (maybe less) he would have defeated Bush-who had about 3 million more popular votes. Abolish the undemocratic/unfair Electoral College.",457,3K,10.5K
Lida Piompino,@lidapiompino,2019-04-01T23:51:34.000Z,"77,744 votes between 3 swing states got us to president 
@realDonaldTrump
.",2,6,12
ANNE ARTO,@HeARTofGod99,2019-04-01T23:59:07.000Z,We be in sync Rob!  ,1,,1
Purple Hayes,@RutherfordRocks,2019-04-01T23:43:59.000Z,"Alright gang! Let's take a vote! 

What is the best name for 
@realDonaldTrump
 drapey neck flaps?#Vagineck
49.4%
#Vulvaneck
19.6%
#Labianeck
16.1%
Other (please specify)
14.9%
577 votes
∑
Final results",102,62,57
Dwayne Rude,@DwayneRude1,2019-04-01T23:49:03.000Z,anus-wattle,,,4
Holty,@FmHolty,2019-04-01T23:55:59.000Z,Read their 990,2,,4
SJ from NJ,@sjaramillo2003,2019-04-01T23:46:51.000Z,"I forgot about that. Don't we have a huge military base there, like the largest in the region?I forgot about that. Don't we have a huge military base there, like the largest in the region?",,1,5
Royston Potter,@RoystonPotter,2019-04-01T23:59:21.000Z,"@POTUS
 @realDonaldTrump
 Unlike you, many Co Sheriffs, LEOs, etc are refusing to back violations of 2nd Amendment. Why? Your promises valid?Quote Tweet
Royston Potter
@RoystonPotter
 ∑ Apr 1, 2019
Got to admit, seems like a reversal of priorities and backtrack on promises. Also, Red Flag laws POTUS supports! Troubling. twitter.com/frddy136/statu¶",2,1,3
diane Borkowski,@dieb1948,2019-04-01T23:52:20.000Z,It's called money laundering,,,7
Beki Knott,@lotsofuss,2019-04-01T23:59:14.000Z,"As usial you are lying. Yours and your team's lies and unseemly cntacts with Russia led to the investigation. If a future presidential candidate does the same, America will be watching far more closely and they will be stopped before they are elected.As usial you are lying. Yours and your team's lies and unseemly cntacts with Russia led to the investigation. If a future presidential candidate does the same, America will be watching far more closely and they will be stopped before they are elected.",,2,4
bob clendenin,@bobclendenin,2019-04-01T23:52:42.000Z,I bet her lips got tired.,,,12
Loni Reeder,@lonireeder,2019-04-01T23:53:33.000Z,"The psychosis is strong with this one! 
I hope she's supposed to be at work and doing this on the company's dime. 

Can she say, UNEMPLOYMENT???'The psychosis is strong with this one! 
I hope she's supposed to be at work and doing this on the company's dime. 

Can she say, UNEMPLOYMENT???'",,,15
Jeep Wave Instructor,@_Truck_Norris_,2019-04-01T22:44:56.000Z,"Damn skippy!!
My nephew gave me this. He wore it on his uniform in Afghanistan. 

Black Betty *proudly* wears it now!!!",3,1,17
The Jeep Mafia,@THEJeepMafia,2019-04-01T23:53:20.000Z,That's Awesome!!,,,4
Jeep Wave Instructor,@_Truck_Norris_,2019-04-01T23:26:06.000Z,"Me too, Krawl.  Me too!!
So much so, I made this one for Betty!!Me too, Krawl.  Me too!!
So much so, I made this one for Betty!!",1,2,13
Krawl AmericaÆOlllllllO,@KrawlAmerica,2019-04-01T23:56:52.000Z,Awesome Truck!!,,,3
marguerite82,@marguerite828,2019-05-01T23:55:51.000Z,"I cannot wait to vote out the worst president ever. 

#VoteBlue 
#VoteBlueNoMatterWho2020",,,11
"Donna T. Meers, Let's Return To Decency
@",@,2019-05-01T23:54:46.000Z,"Don't break laws and all is good! #ReleaseFullMuellerReport 
#tRUmpIsNationalSecurityThreat
#NoOneIsAboveTheLaw
#ItIsTimeToImpeach #TrumpCheats #CheatingIsBAD #TrumpBreaksLaws #BreakingLawsBad #TrumpLies #TrumpLiesBad 
#TrumpLiftsSanctions #TrumpRussianAsset #TrumpRepresentshateDon't break laws and all is good! #ReleaseFullMuellerReport 
#tRUmpIsNationalSecurityThreat
#NoOneIsAboveTheLaw
#ItIsTimeToImpeach #TrumpCheats #CheatingIsBAD #TrumpBreaksLaws #BreakingLawsBad #TrumpLies #TrumpLiesBad 
#TrumpLiftsSanctions #TrumpRussianAsset #TrumpRepresentshate",,1,16
Vice President Kamala Harris,@VP,2019-05-01T20:08:57.000Z,No prosecutor worth their salt would make a decision about whether the President of the United States obstructed justice without reviewing the evidence. Attorney General Barr lacks all credibility.,6.7K,22.4K,78.4K
lolarule,@lolaboriqua,2019-05-01T23:59:08.000Z,"Damn, she is good! She will tear up 
@realDonaldTrump
 on any debate #kamalarules #KamalaHarris #bringit",3,1,9
Christine Trigg,@trigg_christine,2019-05-01T23:57:21.000Z,Kamala Harris for President! Period!! She is a badass!! I love this woman and I am really putting her at the top of my list for PRESIDENT!!Kamala Harris for President! Period!! She is a badass!! I love this woman and I am really putting her at the top of my list for PRESIDENT!!,4,1,4
Trump Won,@ColeenC123,2019-05-01T23:57:39.000Z,Because it was a coup he orchestrated. Why wont you release all the documents that expose everyone? Please tell us you have something on #pencilneck!Because it was a coup he orchestrated. Why wont you release all the documents that expose everyone? Please tell us you have something on #pencilneck!,,,1
DrumphOfTweets,@DrumpfOfTweet,2019-05-01T23:50:58.000Z,Not true... Mueller thinks you colluded and obstructed. Not looking good for you sonny. More to come outNot true... Mueller thinks you colluded and obstructed. Not looking good for you sonny. More to come out,,1,2
SupaMMA,@SupaMMA_,2019-05-01T23:58:13.000Z,"About time to designate Antifa as a terrorist organization. 
@realDonaldTrumpAbout time to designate Antifa as a terrorist organization. 
@realDonaldTrump",,,4
DenBro,@DenBro19,2019-05-01T23:54:51.000Z,Words for the history books!!!Words for the history books!!!,,2,7
Brenda,@BrendaR44430265,2019-05-01T23:51:17.000Z,I agree with you I agree with you ,1,1,1
Charles Robin Lee,@CharlesRobinLee,2019-05-01T23:54:18.000Z,So glad to hear from yo tonight Brenda! I always look fwd to seeing you in the conversation of today's issues & events. I was starting to worry a little bit. ,3,1,1
Senator Mazie Hirono,@maziehirono,2019-05-01T03:06:09.000Z,"AG Barr has lied to both the House and Senate. Let's call it what it is. He's only in the job to protect 
@realDonaldTrump
. As far as I'm concerned, he should not be the Attorney General.",2.9K,7.4K,22.8K
MiloÑ¢,@chasbottom,2019-05-01T23:52:12.000Z,You're just a nasty human being Hirono.,1,1,1
"tRump is a TRAITOR, prove me wrong................",@TrumpTheTRAIT0R,2019-05-01T23:54:46.000Z,Typical you can't deal with facts or the truth.Typical you can't deal with facts or the truth.,2,2,3
Archer Properties,@archerPROgroup,2019-05-01T23:55:50.000Z,This sounds like a guilty person.This sounds like a guilty person.,1,,10
Judicial Watch,@JudicialWatch,2019-05-01T23:00:00.000Z,"JW President 
@TomFitton
 appeared on úHannityù to discuss the Deep State coup effort against 
@realDonaldTrump
 : úThe DNC spent money on this effort to overthrow the president by working with Russia intel.ù

http://jwatch.us/kKHDE30:17
482.1K views",1.4K,4K,14.4K
Common Man,@reallyamazed66,2019-05-01T23:52:29.000Z,"Russians know who will deal. American left embraces communist ideology why would they want 
@realDonaldTrump
 to win. Our leftists are moral relativists; they don't believe in any steadfast principles only political power.",1,,2
LaVillegas,@VeeYAYGahs,2019-05-01T23:53:21.000Z,"Karl Popper's ""Paradox of Freedom"" reserves the right to be intolerant of those who are:
a) intolerant
or
b) not prepared to meet on the level of rational argument

https://goodreads.com/quotes/25998-the-so-called-paradox-of-freedom-is-the-argument-that-freedom?fbclid=IwAR2W7PTntFM5Hr_weO9JXKyfMJvbSDdHRQPIy985_Sc_SqI6amQ_wMDWDyY¶Karl Popper's ""Paradox of Freedom"" reserves the right to be intolerant of those who are:
a) intolerant
or
b) not prepared to meet on the level of rational argument

https://goodreads.com/quotes/25998-the-so-called-paradox-of-freedom-is-the-argument-that-freedom?fbclid=IwAR2W7PTntFM5Hr_weO9JXKyfMJvbSDdHRQPIy985_Sc_SqI6amQ_wMDWDyY¶",,1,3
Fullcircle,@kittylvr820,2019-05-01T23:54:47.000Z,"The reasons behind the fearmongering are blatantly obvious as well & it's time to end the PC nonsense already! 
@realDonaldTrump
 @Jim_Jordan
 @Realpersonpltcs
 @BoogieBumper
 @JWink4
 @BlondeMamaUSA_
 @Poppylane_
 @LemonTree471930 @EnablerAbe 
@paulsperry_
 @BorderNarcotics 
@MBNI_Quote Tweet
Rep. Jim Jordan
@Jim_Jordan
 ∑ May 1, 2019
The Census fearmongering must end.

https://washingtonpost.com/opinions/the-census-fearmongering-must-end/2019/05/01/1faccf6c-6c3c-11e9-bbe7-1c798fb80536_story.html?utm_term=.c4628ab3bf7c¶",,,
Lucy -American Patriot,@mcgregorgirl1,2019-05-01T23:53:52.000Z,I made pot roast Sunday!!I made pot roast Sunday!!,1,,3
MrsGoodoz,@MrsGoodoz,2019-05-01T23:55:59.000Z,"I love a good pot roast and mashed taters with homemade gravy!!
How are you Lucy goosy!",1,,3
JR,@rubiojms,2019-05-01T23:52:59.000Z,"Thanks Trish for your constant supports, thanks....Thanks Trish for your constant supports, thanks....",,,4
I am 1 of #TheMighty200 - Joseph M Lenard,@JLenardDetroit,2019-05-01T23:57:35.000Z,"yes, #Rosenstein could NOT have been given control of the #Mueller investigation if not cleared! This is the usual #DUMBocrats asking STUPID questions they themselves should have known the Answer to before they made themselves look foolish by asking it.yes, #Rosenstein could NOT have been given control of the #Mueller investigation if not cleared! This is the usual #DUMBocrats asking STUPID questions they themselves should have known the Answer to before they made themselves look foolish by asking it.",,,5
Jethro,@Mrnascarjb,2019-05-01T23:52:52.000Z,Screw Nadler. He is a royal pain in the ass. They don't know how to govern so they are scandal writers for things that aren't there and need to make up. I hope nobody shows up for their Commie meetings.Screw Nadler. He is a royal pain in the ass. They don't know how to govern so they are scandal writers for things that aren't there and need to make up. I hope nobody shows up for their Commie meetings.,,1,3
m.robbin55,@mrobbin55,2019-05-01T23:50:19.000Z,"Yep! 

Senator Hirono read most of barr's inconsistencies, obstructive moves, conflicts of interest and lies into the record without asking a single question.

He barely had time to breathe.

Respect!Yep! 

Senator Hirono read most of barr's inconsistencies, obstructive moves, conflicts of interest and lies into the record without asking a single question.

He barely had time to breathe.

Respect!",,,2
Scott Bepler,@ScottBepler,2019-05-01T23:59:38.000Z,It's totally true!  #NoMoJoeIt's totally true!  #NoMoJoe,2,1,2
Petty_Davis,@kiki_ogulu,2019-05-01T23:53:57.000Z,Me either,,,5
Diane Klekotka,@Dianekkdi,2019-05-01T23:59:12.000Z,Never viewed Barr as having a decent reputation. #IndividualOne #Individual1 would not have chosen him otherwise. He could be compromised. That was all the resume he needed.Never viewed Barr as having a decent reputation. #IndividualOne #Individual1 would not have chosen him otherwise. He could be compromised. That was all the resume he needed.,,,6
press@recallingCCCjudges,press@recallingCCCjudges,2019-05-01T23:37:35.000Z,Making money hooking children for sex. It's our government. #CPS #kids4cash #GoodbyeAFCC,1,,
Jen Young,@AlohaJenYoung,2019-05-01T23:53:56.000Z,"I can't give more emotion to this today. Although I've not been targeted, child issues compel me so deeply, it hurts my heart. I'm going to lobby this-loud! I just need to balance my health so I can make a difference as I strategize. 1 yr ago was evil assault on my home/family.",1,4,7
The Trump cancer is metastasizing (he/him),@sfgigantes2014,2019-05-01T20:58:25.000Z,How quickly did regular folks fall for Hitler's evil ways? Whomever blindly follows Trump should give this some thought.How quickly did regular folks fall for Hitler's evil ways? Whomever blindly follows Trump should give this some thought.,16,6,21
Reagan Trump,@ReaganTrump1,2019-05-01T23:56:28.000Z,"Hitler was a socialist ,who took guns away from his people before he threw them in the gas chambers . Just a fun fact for you",,,
"Fascism flattened, but never the webrant
------",@web_rant,2019-05-01T23:58:07.000Z,"Not only do Democrats know ""Bob"" we've asked him to testify under oath May 15. 

Also, about that ""respected AG"", there's a cell waiting for him since he's ignoring subpoenas. And the rule of law.Not only do Democrats know ""Bob"" we've asked him to testify under oath May 15. 

Also, about that ""respected AG"", there's a cell waiting for him since he's ignoring subpoenas. And the rule of law.",,3,4
howardfineman,@howardfineman,2019-05-01T21:31:44.000Z,"The Beltway take on #Barr is that he's a good man corrupted by proximity to 
@realDonaldTrump
. Actually, he's always been a ruthless, intellectually dishonest shill for untrammeled presidential and corporate power, made to look decent by a light dusting of Poppy Bush Family ties.",735,5.5K,14.2K
patrick larkin,@patricklarkin,2019-05-01T23:53:47.000Z,Now that's a tweet.,,,5
Stephen P. Brannen,@stephen_brannen,2019-05-01T23:56:47.000Z,"See, that's America... We can agree to disagree.See, that's America... We can agree to disagree.",1,,
djhshopgirl,@Hjdshopgirl,2019-05-01T23:59:48.000Z,"Unfortunately, we will live in an authoritarian government if this continues. We in America don't have Kings... We have presidents and they are not above the law.",1,1,2
Tshdllrd,@Tishash231,2019-05-01T23:57:19.000Z,Anything is better than 45,1,1,16
Bob Beamesderfer,@key2thehighway,2019-05-01T23:58:56.000Z,"Except EVERY editorial cartoon, genius.Except EVERY editorial cartoon, genius.",1,,14
Bob Reynolds,@BobRey77,2019-05-01T23:53:01.000Z,Rubbish.Rubbish.,1,1,8
Undercover Huber,@JohnWHuber,2019-05-01T23:20:17.000Z,"Correction: he was ON FIRE Quote Tweet
The Hill
@thehill
 ∑ May 1, 2019
Washington Post editorial board blasts Barr after hearing: He ""has lit his reputation on fire"" http://hill.cm/VLWDJRI",12,102,391
kathy,@kathyfisher10,2019-05-01T23:56:48.000Z,"I don't think the Hill watch the same Senate Hearing Most Americans Did .... AG Barr was Awesome... 
@DonaldJTrumpJr
 @realDonaldTrump",1,1,2
Henry The Social Democrat,@Biggy1883,2019-05-01T23:56:46.000Z,"Yes America,the #FrenchSpring is here,time to send in #NATO 
You have plenty of bombs to sell,take Macron out like you did Gaddafi
Think of all the money/gold France has in foreign banks you can seize
#WallStreet would love it
Loot the jointYes America,the #FrenchSpring is here,time to send in #NATO 
You have plenty of bombs to sell,take Macron out like you did Gaddafi
Think of all the money/gold France has in foreign banks you can seize
#WallStreet would love it
Loot the joint",,,1
Jenna Browder,@JennaBrowder,2019-06-01T12:32:27.000Z,"úThis is not a political endorsement. It's just simply praying for the president.ù - 
@Franklin_Graham
 tells me and 
@JohnJessupCBN
 about the special day of prayer he's organizing. Our full #FaithNation interview here: http://www1.cbn.com/cbnnews/politics/2019/may/franklin-graham-calls-for-national-day-of-prayer-for-president-trump-nbsp-ldquo-prayer-is-a-weapon-rdquo¶",1.9K,2.5K,11.9K
Anne Jarrett,@jarrettat,2019-06-01T23:56:45.000Z,Separation of church and state? Rescind the tax exempt status of Samaritan's Purse!,1,2,26
Stephen Graff,@sgraffwriter,2019-06-01T23:56:16.000Z,"I will pray for a better future for America that doesn't include anti-American, anti-Christian 
@realDonaldTrump
 in our beloved 
@WhiteHouse
. #Megachurch #FakeChristians are not praying for God's will, but for the success of a man who has worked AGAINST the true Gospel of Christ.I will pray for a better future for America that doesn't include anti-American, anti-Christian 
@realDonaldTrump
 in our beloved 
@WhiteHouse
. #Megachurch #FakeChristians are not praying for God's will, but for the success of a man who has worked AGAINST the true Gospel of Christ.",,,4
Ron DeSantis,@GovRonDeSantis,2019-06-01T22:13:39.000Z,"In honor and remembrance of the victims of the act of violence committed at the Virginia Beach Municipal Center, and at the direction of President 
@realDonaldTrump
, I have directed the U.S. and Florida flags be flown at half-staff across the state through Tues., June 4th.",141,420,2.5K
Sigh of Relief,@LynnDalinOhio,2019-06-01T23:57:57.000Z,"Now do gun sense legislation. 

Nope - thoughts, prayers, & flags are it.",1,,14
Dale Read,@DaleRocketbuck,2019-06-01T23:56:43.000Z,Praying for your days in the White House to be short!Praying for your days in the White House to be short!,1,,9
MPL Group's/GetWellness Center,@GetWellnessNow,2019-06-01T23:55:09.000Z,"Mexico is great! The cartels there are at least straight forward! The US government is so corrupt and pretends to be helping it's citizens, while systematically killing and maiming humanity, with eugenics. The Mexicans are hard workers, fight for non GMO, #Standup
#BeBraveMexico is great! The cartels there are at least straight forward! The US government is so corrupt and pretends to be helping it's citizens, while systematically killing and maiming humanity, with eugenics. The Mexicans are hard workers, fight for non GMO, #Standup
#BeBrave",,1,2
Jen Winchester #AKF#SPN,@jhpracht,2019-06-01T23:14:02.000Z,"Maybe YOU should be President, you know more about this stuff than Trump doesMaybe YOU should be President, you know more about this stuff than Trump does",16,1,59
shirey jackson,@shirey_jackson,2019-06-01T23:54:55.000Z,Your right he does!,1,1,35
Sonia Prince,@Die__Trying_,2019-06-01T23:56:10.000Z,"China, Germany and Africa are cutting good trade deals. USA is left behind because Trump is supposedly great at deal making?China, Germany and Africa are cutting good trade deals. USA is left behind because Trump is supposedly great at deal making?",,2,4
Helen,@luvtheusa76,2019-06-01T23:59:47.000Z,"You are the most divisive person on the planet, you hate everyone and everything. úWe all Stick together and Winù, yeah we know what that means.You are the most divisive person on the planet, you hate everyone and everything. úWe all Stick together and Winù, yeah we know what that means.",,,2
latrenzadeoro,@latrenzadeoro,2019-06-01T23:59:01.000Z,Trump himself and all of his cronies make their stuff in China too! Trump himself and all of his cronies make their stuff in China too! ,,,6
Jaynie's Got a Bun,@FreeGirlNowNYC,2019-06-01T23:57:22.000Z,If only there were video of him saying it which of course there is but cognitive dissonance is a bitch,,1,26
Geraldo Rivera,@GeraldoRivera,2019-05-31T13:36:57.000Z,"Here's an idea for a compromise. 
1-The Dems agree to drop all #RussiaGate related investigations. 
IF they do, 
2-#AGBarr agrees to stop his probe of the counterintelligence operation that targeted 
@realDonaldTrump
 
Then we all go forward together, and let the best man/woman win",31.5K,5.7K,2.7K
Jeff Mac,@JeffMacIsHere,2019-06-01T23:56:47.000Z,I wish there was some way I could monetize the ratio on this tweet.,2,,42
slick 62,@Kapo640,2019-06-01T23:59:57.000Z,Donald Trump has renewed my faith.... there's no way God exists!!Donald Trump has renewed my faith.... there's no way God exists!!,1,,14
Chris,@CJNWrites,2019-06-01T23:56:54.000Z,"FUN FACT: More than half still disapprove of you, Asshat. 
@realDonaldTrumpQuote Tweet
David Brody
@DavidBrodyCBN
 ∑ May 31, 2019
Trump's approval rating hits highest point in two years https://thehill.com/homenews/administration/446347-trumps-approval-rating-hits-highest-point-in-two-years¶",,,12
Rikers,@Rikers,2019-06-01T15:30:04.000Z,"Lol, Get him mike... but again, we from NY knew he was a fraud/ con-artist. Sad no one else listened.Lol, Get him mike... but again, we from NY knew he was a fraud/ con-artist. Sad no one else listened.",39,13,283
Mark McGee,@marfamanmark,2019-06-01T23:56:01.000Z,MAGA2020. Sounds like you got a terminal case of Trump Derangement Syndrome. Pity.,,,2
Christine Hyman,@chrisehyman,2019-06-01T23:59:07.000Z,Good lord. No one is moving back. We're paying for your tariffs.Good lord. No one is moving back. We're paying for your tariffs.,,,5
GoÕ¶tÕ≠JaÕ£niÕ•eÕ§? Æ,@GotJanie,2019-06-01T23:56:13.000Z,Go fail at finding a treasure because NO ONE IS ABOVE THE LAW.Go fail at finding a treasure because NO ONE IS ABOVE THE LAW.,,1,6
Peter Baker,@peterbakernyt,2019-05-31T20:06:54.000Z,"Trump to award Medal of Freedom to Arthur Laffer, father of supply side economics that gained prominence in the Reagan years.",1.6K,3K,15.2K
That Pharmacist Kid,@MWLAD17,2019-06-01T23:57:51.000Z,LOL THE IRONY I CANNOT HANDLE,,,26
Naya,@JdWpink,2019-06-01T23:57:52.000Z,"I'm not the praying type, but I'll try praying for you to leave office tomorrow. Couldn't hurt!I'm not the praying type, but I'll try praying for you to leave office tomorrow. Couldn't hurt!",4,1,7
Anthony Bonet,@BonetAnth,2019-06-01T23:56:38.000Z,Coo cooo for coco puffs!!!,,,5
Pepyone,@Pepyone,2019-06-01T23:57:23.000Z,"Shouldn't Trump humble himself and ask for prayers for the families affected in Virginia Beach instead?
Wouldn't that be the right thing to do?Shouldn't Trump humble himself and ask for prayers for the families affected in Virginia Beach instead?
Wouldn't that be the right thing to do?",2,2,10
m l,@Pagramma148,2019-06-01T23:55:53.000Z,Prayers should not be directed to a liar and a cheat.  Direct your prayers to all God's people and then we will listen.  So for now shut up with the political announcements.Prayers should not be directed to a liar and a cheat.  Direct your prayers to all God's people and then we will listen.  So for now shut up with the political announcements.,,,12
Trucker Doug,@doug_trucker,2019-06-01T23:58:49.000Z,"Maybe she will crash

  TRUCKER DOUG 
A REAL AMERICANMaybe she will crash

  TRUCKER DOUG 
A REAL AMERICAN",,,1
JMC,@Juliana4984,2019-06-01T23:57:55.000Z,"Yeah, I read the report and you said the same things about every person BEFORE  they decided to tell the truth about you!Yeah, I read the report and you said the same things about every person BEFORE  they decided to tell the truth about you!",1,,4
Defend Our Future | #TimeToAct,@DefendOurFuture,2019-06-01T23:57:22.000Z,"New 
@WashingtonPost
 editorial: 
@RealDonaldTrump
 and those in his administration ignore scientists' increasingly dire warnings to the peril of their children, grandchildren and the rest of humanity. #ClimateCrisis #ActOnClimate https://washingtonpost.com/opinions/sea-level-rise-could-be-even-worse-than-weve-been-led-to-expect/2019/05/30/7eb5a7f8-7d9f-11e9-8ede-f4abf521ef17_story.html¶",,2,4
Christine Hyman,@chrisehyman,2019-06-01T23:56:35.000Z,You should keep a few lawyers around. For later.You should keep a few lawyers around. For later.,,1,5
Judy Wingren,@sweedy64,2019-06-01T23:58:53.000Z,"We have lost way more respect with trump. I work in Europe and hear how Europeans despise him. Obama was very respected in Europe. Michelle Obama had done a European tour and ever venue has been sold out. When trump comes, the cartoons about him begin as well as the jokes.We have lost way more respect with trump. I work in Europe and hear how Europeans despise him. Obama was very respected in Europe. Michelle Obama had done a European tour and ever venue has been sold out. When trump comes, the cartoons about him begin as well as the jokes.",,,11
Nancy Pelosi,@SpeakerPelosi,2019-06-01T20:04:43.000Z,"Two years ago, 
@realDonaldTrump
 recklessly endangered the health, well-being & future of Americans when he senselessly announced his intention to withdraw the United States from the Paris Climate Agreement. Read the rest of my statement here: https://speaker.gov/newsroom/6119-3/¶",5.6K,4.2K,12.5K
Steven Kunes,@StevenKunes,2019-06-01T23:57:12.000Z,It was Antigua deal. Unfair to us.,1,,5
