User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Oliver McGee PhD MBA,@OliverMcGee,2019-01-01T23:57:55.000Z,"Russian Hoax is a Hack Smear by Dems to stop a duly-elected 
@POTUS
 @realDonaldTrump
 @WhiteHouse
 !

Patriot Americans are sick & tired of 
@HillaryClinton
 @ChuckSchumer
 @NancyPelosi 
@HouseDemocrats
 @SenateDems
 & 
@Comey
 made up lies of Russian Collusion Delusion. 
@Mr_Pinko
 Rocks!",125,838,1.8K
David Rothkopf,@djrothkopf,2019-01-01T23:57:49.000Z,"And tariffs are like a tax hike.  And rising interest rates are like a tax hike.  And a falling stock market is like a tax hike.  And eliminated regulations create health care costs and damage to the environment that are like a tax hike.  And...well, you won't understand.And tariffs are like a tax hike.  And rising interest rates are like a tax hike.  And a falling stock market is like a tax hike.  And eliminated regulations create health care costs and damage to the environment that are like a tax hike.  And...well, you won't understand.",38,236,1.2K
Cryssi Bentlage,@CryssiBentlage,2019-01-01T23:59:01.000Z,"Facebook literally just showed me prices at $1.84 that I took a picture of four years ago. I'm no mathematician, but I don't think you were in office then. 
 #tryagain #TrumpResignNOW #FakePOTUSFacebook literally just showed me prices at $1.84 that I took a picture of four years ago. I'm no mathematician, but I don't think you were in office then. 
 #tryagain #TrumpResignNOW #FakePOTUS",5,6,127
Martin L Anderson,@MartinLAnderso2,2019-01-01T23:58:48.000Z,"Gas prices are down because crude oil prices are down because the market forsees a lack of demand during the recession that your economic policies are going to cause. It is luck, just not the good kind.Gas prices are down because crude oil prices are down because the market forsees a lack of demand during the recession that your economic policies are going to cause. It is luck, just not the good kind.",1,10,113
Queen Maureen,@maureenfromiowa,2019-01-01T23:58:08.000Z,"Border security is achievable via many methods. As a Democrat I absolutely support the need for strong borders. That said, I do NOT support $$$ going to a wall or fence.
#TrumpResignBorder security is achievable via many methods. As a Democrat I absolutely support the need for strong borders. That said, I do NOT support $$$ going to a wall or fence.
#TrumpResign",9,8,73
KevinlyFather,@KevinlyFather,2019-01-01T23:56:54.000Z,Your ratings are low and expected to go down to 5 to life this year.Your ratings are low and expected to go down to 5 to life this year.,1,3,12
Dave Caines,@dmtcaines,2019-01-01T23:59:08.000Z,I suppose you're going to try and use those savings to pay for the wall too!! LOL!!!I suppose you're going to try and use those savings to pay for the wall too!! LOL!!!,2,1,79
BruceM,@BruceMurdoch7,2019-01-01T23:58:20.000Z,Traders are selling off oil because the oversupply today will become a tsunami of oil supply when the expected recession starts.  If you think the US budget deficit is bad now........Traders are selling off oil because the oversupply today will become a tsunami of oil supply when the expected recession starts.  If you think the US budget deficit is bad now........,3,7,137
Bernard Farquart-6 feet back,@BernardFarquart,2019-01-01T23:58:20.000Z,"Is the falling stock market another tax cut, too?Is the falling stock market another tax cut, too?",2,3,85
Ulysses,@UlyssesV,2019-01-01T23:58:08.000Z,"Americans don't think you have anything to do with it.

#TrumpCrimeFamily
#TrumpShutDown
#IndictTrumpAmericans don't think you have anything to do with it.

#TrumpCrimeFamily
#TrumpShutDown
#IndictTrump",,1,5
LTNCUSNR1996,@miztewi,2019-01-01T23:57:54.000Z,"Dogs don't get fired...he called people names. And retired at full-rank because Obama intervened. Consider that, people FIRED for being DISRESPECTFUL...should happen more often...Dogs don't get fired...he called people names. And retired at full-rank because Obama intervened. Consider that, people FIRED for being DISRESPECTFUL...should happen more often...",2,,11
Shelly Dawn McCarver Morris Shields,@MccarverDawn,2019-01-01T23:58:50.000Z,No manners .. Treasonous...No manners .. Treasonous...,,1,2
Do The Right Thing,@SaintTrevino,2019-01-01T23:57:05.000Z,Energy independence would be good. Reliance on cheap oil from the Middle East is problematic!Energy independence would be good. Reliance on cheap oil from the Middle East is problematic!,1,,3
Lynn Bellingham,@bellingham_lynn,2019-01-01T23:59:55.000Z,"Home heating oil prices are up over last year. Food prices are up every week. Electricity costs are up. Health insurance premiums are ballooning. Over 40 prescription drugs are going up this month. Affordable housing is almost a myth. But hey,you magically lowered gas prices...Home heating oil prices are up over last year. Food prices are up every week. Electricity costs are up. Health insurance premiums are ballooning. Over 40 prescription drugs are going up this month. Affordable housing is almost a myth. But hey,you magically lowered gas prices...",,2,7
KarriGJ,@karrigj,2019-01-01T23:59:45.000Z,"It's like when my boss made a mistake on my paycheck and I told him about it and he said, you've been making really good tips lately, haven't you?ù and I said, yeah, I have, so can you get me the $22 you still owe me?ù Two different things.It's like when my boss made a mistake on my paycheck and I told him about it and he said, you've been making really good tips lately, haven't you?ù and I said, yeah, I have, so can you get me the $22 you still owe me?ù Two different things.",2,,52
Ole- Pa -62,@Olepa62,2019-01-01T23:57:22.000Z,"Mr. Trump , as the gas prices fall so does our 401kMr. Trump , as the gas prices fall so does our 401k",,2,6
"PlayTheTrumpCard
Legal Votes Only Please",@PlaysTrumpCard,2019-01-01T22:40:01.000Z,"Pres. Obama made 32 recess appointment
Pres. Clinton made 139 recess appointments
Pres. George W. Bush made 171 recess appointments
@realDonaldTrump
 has made ZERO recess appointments because OUR 
@GOP
 @senatemajldr refuses to adjourn the Senate.

Remember that Brutus guy?

I do.",61,421,491
Nathan,@VinTage_Nathan,2019-01-01T23:59:41.000Z,"Brutus and Cassius,
They too were honorable men.
Don't trust suits.",,1,2
Bronxtale,@bronxtale0423,2019-01-01T23:59:08.000Z,"LIEawatha why aren't you donating your salary to your Native Americanù people 
@CeCeTop
 @seanhannityLIEawatha why aren't you donating your salary to your Native Americanù people 
@CeCeTop
 @seanhannity",,1,
Patrick Stokes,@patstokes,2019-01-01T23:57:22.000Z,"Wait, do dogs normally get fired? I mean I get there are working dogs but is there some distinctive way of firing them that would make fired like a dogù a useful simile?Wait, do dogs normally get fired? I mean I get there are working dogs but is there some distinctive way of firing them that would make fired like a dogù a useful simile?",8,4,155
Helen Voelker,@voelker_helen,2019-01-01T23:59:46.000Z,USMCA is NAFTA! Not much changed in your deal except the acronym. So Mexico is NOT paying for the wall!USMCA is NAFTA! Not much changed in your deal except the acronym. So Mexico is NOT paying for the wall!,,1,5
P√©,@4everNeverTrump,2019-01-01T23:55:46.000Z,"It's because it's winter, dip-shit. Gas prices are almost always lower in winter. https://eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=EMM_EPM0_PTE_NUS_DPG&f=M¶It's because it's winter, dip-shit. Gas prices are almost always lower in winter. https://eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=EMM_EPM0_PTE_NUS_DPG&f=M¶",35,111,649
P√©,@4everNeverTrump,2019-01-01T23:58:55.000Z,"Also, when were gas prices even lower than now? When Obama was President in 2015 and 2016.",14,36,266
Chris Malet,@Cmalet50,2019-01-01T23:59:47.000Z,Coach is getting heckled by Russian bots. He's made it big time.  Gonna be running Oklahoma drills in the parking lot of the Kremlin w Putin next week!Coach is getting heckled by Russian bots. He's made it big time.  Gonna be running Oklahoma drills in the parking lot of the Kremlin w Putin next week!,,,12
sweetleaf says: abolish the Electoral College,@greatsweetleaf,2019-01-01T23:58:40.000Z,"Do you think it's just luck that the stock market lost value in 2018?

#TwitlerDo you think it's just luck that the stock market lost value in 2018?

#Twitler",,,3
lil kim squad,@LilTeamkimlisa,2019-01-01T23:58:21.000Z,Trump can't toke about the stock market or the economy anymore. That's why he is running on gas prices which are still higher than 2 years old!Trump can't toke about the stock market or the economy anymore. That's why he is running on gas prices which are still higher than 2 years old!,1,,5
MK,@MichelleKroupa,2019-01-01T23:59:06.000Z,"why do you make dogs sound bad?  My dog is awesome,  he's laying on the floor right now looking at me with such love!why do you make dogs sound bad?  My dog is awesome,  he's laying on the floor right now looking at me with such love!",1,,13
There is hope again for the USA.,@Ikdoehetniet,2019-01-01T23:58:19.000Z,"Shush now, he's been promised a real estate deal in N Korea!
Great economic potential! 
There's money to be made for #Trump , so he will praise them.Shush now, he's been promised a real estate deal in N Korea!
Great economic potential! 
There's money to be made for #Trump , so he will praise them.",1,1,14
TK Krueger,@TKrueger71,2019-01-01T23:58:32.000Z,"Not true. It may slow inflation, but businesses aren't going to slash prices.Not true. It may slow inflation, but businesses aren't going to slash prices.",,,4
Gershon Ekman,@ekmngrlz,2019-01-01T23:58:24.000Z,"When criticized, 
@realDonaldTrump
 flies into a rage, bares his teeth, snarls, and attacks like a junkyard dog. This former Navy officer knows he's not fit to lick the boots of the military heroes he's attacked: McCain, Mattis, McRaven, and now McChrystal. #TrumpShutdown2018When criticized, 
@realDonaldTrump
 flies into a rage, bares his teeth, snarls, and attacks like a junkyard dog. This former Navy officer knows he's not fit to lick the boots of the military heroes he's attacked: McCain, Mattis, McRaven, and now McChrystal. #TrumpShutdown2018",,1,3
Kathryn Bodkin,@Kitty_Kat_2016,2019-01-01T23:57:46.000Z,"No, I think OPEC had a meeting and increased production. #DotardDonnie #ThanksGOPNo, I think OPEC had a meeting and increased production. #DotardDonnie #ThanksGOP",4,,48
Baart Groot,@relctntidealist,2019-01-01T23:58:57.000Z,"Trump doesn't care, Brian. In fact, he'd be happy because now he can talk about himself again.
He's like the failed College quarterback who lives to talk about the time heù almost won the final but the ref made a bad call.Trump doesn't care, Brian. In fact, he'd be happy because now he can talk about himself again.
He's like the failed College quarterback who lives to talk about the time heù almost won the final but the ref made a bad call.",1,,7
Rmetzel810@aol.com,Rmetzel810@aol.com,2019-01-01T23:29:56.000Z,Where's the 10% middle class tax breakWhere's the 10% middle class tax break,1,3,10
Kalaninut,@Kalaninut,2019-01-01T23:59:21.000Z,And the 10% military pay raise?,,1,4
Scott Dworkin,@funder,2019-01-01T17:34:17.000Z,"What do you think is going on inside 
@realDonaldTrump
's mind right now?",5.9K,1.2K,3.4K
Sharon Thompson,@kentuckygrandma,2019-01-01T23:59:13.000Z,"The sound of wind, blowing in one ear and out the other.",,1,4
Kel_Kazoo,@KelOBake,2019-01-01T23:46:52.000Z,"No. What will be ""good"" is when you resign #TrumpResignNo. What will be ""good"" is when you resign #TrumpResign",3,,8
Bruce Thies,@MicheBagDirect,2019-01-01T23:59:40.000Z,Very Rude! He is our President!,3,2,2
great dane,@greatdane,2019-01-01T23:59:15.000Z,ur like a 12 year oldur like a 12 year old,2,,51
Sabrina L.,@locklooneytune,2019-01-01T23:59:26.000Z,"It must've been a Twitter version of the book, huh??It must've been a Twitter version of the book, huh??",,2,28
bicha bandida perigosa cachorra e evang√©lica,@guiammaga,2019-01-01T23:59:13.000Z,"Take him, if he's so great and you're sooooooo with him. You know, so you can literally BE WITH HIM.Take him, if he's so great and you're sooooooo with him. You know, so you can literally BE WITH HIM.",8,,17
Gary Bonfante,@garybonfante,2019-01-01T19:07:13.000Z,"Fondly remembering the years when you had credibility and respect - when we looked to your actions as a leader. Playing the part of 
@realDonaldTrump
 mouthpiece is beneath you.Fondly remembering the years when you had credibility and respect - when we looked to your actions as a leader. Playing the part of 
@realDonaldTrump
 mouthpiece is beneath you.",1,,6
Walter (wear a mask) Sales,@WalterLapp,2019-01-01T23:57:31.000Z,"He could have exited the stage with honor and integrity for what he did for New York, the indispensable city. He threw it all away because he did not know when to fold em.",,,4
Michael Thomas,@in_pubs,2019-01-01T23:27:28.000Z,"Donnie, only you take the word of despotic murders as gospel truth. 

Remember how that worked out for ya last time?Donnie, only you take the word of despotic murders as gospel truth. 

Remember how that worked out for ya last time?",2,10,46
cognizant canuck,@CanuckCognizant,2019-01-01T23:59:13.000Z,"Yep, his own security agencies are never right, and dictators and murderers never lie. Welcome to Trump Land, were nothing makes sense, and everyone is batshit crazy.",,3,7
Stephen King,@StephenKing,2019-01-01T23:14:36.000Z,Un is a liar and you're another.Un is a liar and you're another.,350,1.2K,16.5K
Angie Baby,@itchstdnts,2019-01-01T23:59:41.000Z,"A country cannot defend itself with no allies. Trump is isolating us so that our only choices for allies are countries like Russia, China, or N. Korea. He only likes big tough guys.",3,,2
JRehling,@JRehling,2019-01-01T23:58:10.000Z,I'm not even sure where his own hair is. It's not that thing on his head.I'm not even sure where his own hair is. It's not that thing on his head.,,,3
Mar,@RandiMarilyn,2019-01-01T23:33:34.000Z,"Where are you from? Are you even affected by mass migration of illegal aliens?  There are a lot of highway and construction workers being displaced by illegals.  And in motels, restaurants and other jobs too.Where are you from? Are you even affected by mass migration of illegal aliens?  There are a lot of highway and construction workers being displaced by illegals.  And in motels, restaurants and other jobs too.",8,1,1
Mike,@Mike64276684,2019-01-01T23:58:15.000Z,This entire country is made up of immigrants or their decendants. Are you a Native American?,,,2
Meliannos,@meliannos,2019-01-01T23:29:54.000Z,".How do I know this is a closet white supremacist, enabled by 
@realDonaldTrump
 & wearing a red MAGAt hat in his red truck? https://twitter.com/Betterw05759703/status/1080015175229423618¶This Tweet is unavailable.",3,,
ALB #AntiFascistSewerRat #Cancel LNP/Murdoch/IPA,@ALBrusey,2019-01-01T23:58:39.000Z,"Hey, it's another bot. the eight numbers in their account name gives them away. Block them every time.",,,1
Feral Progressive,@LaianeWolfsong,2019-01-01T23:58:22.000Z,Oh fuck no we aren'tOh fuck no we aren't,,,6
David L B,@dlb703,2019-01-01T23:58:05.000Z,ROFL!!!ROFL!!!,1,1,2
"Nicole
#Biden2020",@MzDivah67,2019-01-02T23:55:05.000Z,".
@RealDonaldTrump
 What part of NO $$$ for your Foxtrot Uniform Charlie Kilo India November Golf Wall don't you comprehend? #TrumpShutdownGIF",1,3,1
Mark,@iamjurassicmark,2019-01-02T23:57:17.000Z,The kids grow up. They see America as the enemy. The empire falls.The kids grow up. They see America as the enemy. The empire falls.,,,8
Colin Treado,@dcskinny1414,2019-01-02T23:55:35.000Z,Mexico is not paying for the wall through the new NAFTA. Nope. Saying a thing doesn't make a thing.Mexico is not paying for the wall through the new NAFTA. Nope. Saying a thing doesn't make a thing.,,,9
CNN Politics,@CNNPolitics,2019-01-02T23:50:19.000Z,"President Trump tells Sen. Chuck Schumer he can't accept an offer to re-open the government from Democrats because he'd ""look foolish"" https://cnn.it/2F15Ld3",1.1K,984,1.2K
What Would Arundhati Roy Do?,@massontheworld,2019-01-02T23:54:30.000Z,"@realDonaldTrump
 already looks foolish. Lol.",1,6,27
Turnip,@Turnip2028,2019-01-02T21:38:42.000Z,"Is it just me or has 
@realDonaldTrump
 become an even bigger moron in 2019?",845,1.2K,9.3K
Jack,@jack2e,2019-01-02T23:59:56.000Z,The very thought of him makes me nauseous.#NoWall #TrumpShutown #GOPShutdown #ComplicitGOP,,,5
Ryan Knight ‚ò≠,@ProudSocialist,2019-01-02T22:54:08.000Z,"Trump: ""I would've been a good general.ù

No 
@realDonaldTrump
, you wouldn't have been a good general. The only things you're good at are lying, evading your taxes, conspiring w/ Russia & obstructing justice. And you're not even that good at crime as Mueller is hot on your tracks.",289,1.1K,5.2K
tom murray,@twm3823,2019-01-02T23:56:06.000Z,if only he hadn't had those pesky bone spurs...,,1,2
Franktheshank808,@Franktheshank88,2019-01-02T23:41:52.000Z,"When does he leave???
@realDonaldTrumpQuote Tweet
Lawrence O'Donnell
@Lawrence
 ¬∑ Jan 2, 2019
The president of the United States just said he could run for any officeù in Europe.",31,54,189
Suppress the GQP - NOT the right to VOTE,@SherrieBabee,2019-01-02T23:56:05.000Z,"He's so of s**t.

And it's gonna hit tomorrow. 
CAN'T WAIT!",,2,3
